root_lot_id,wafer_id,defect_rate,bad_flag
LOT1043,LOT1043_W02,0.05,0
LOT1043,LOT1043_W03,17.5377,1
LOT1043,LOT1043_W04,11.0029,0
LOT1043,LOT1043_W05,7.6947,0
LOT1044,LOT1044_W01,0.05,0
LOT1044,LOT1044_W02,4.0346,0
LOT1044,LOT1044_W03,14.6052,0
LOT1044,LOT1044_W04,8.3782,0
LOT1044,LOT1044_W05,19.4002,1
LOT1045,LOT1045_W01,14.7111,0
LOT1045,LOT1045_W02,18.4907,1
LOT1045,LOT1045_W03,0.05,0
LOT1045,LOT1045_W04,1.7465,0
LOT1045,LOT1045_W05,0.05,0
LOT1046,LOT1046_W01,0.05,0
LOT1046,LOT1046_W02,14.3965,0
LOT1046,LOT1046_W03,15.7095,0
LOT1046,LOT1046_W04,3.1991,0
LOT1046,LOT1046_W05,12.4354,0
LOT1047,LOT1047_W01,12.6483,0
LOT1047,LOT1047_W02,17.8751,1
LOT1047,LOT1047_W03,12.4925,0
LOT1047,LOT1047_W04,19.8268,1
LOT1047,LOT1047_W05,2.7386,0
LOT1048,LOT1048_W01,27.5241,1
LOT1048,LOT1048_W02,11.8022,0
LOT1048,LOT1048_W03,0.05,0
LOT1048,LOT1048_W04,18.6146,1
LOT1048,LOT1048_W05,0.05,0
LOT1049,LOT1049_W01,0.05,0
LOT1049,LOT1049_W02,0.05,0
LOT1049,LOT1049_W03,0.05,0
LOT1049,LOT1049_W04,6.2162,0
LOT1049,LOT1049_W05,1.323,0
