root_lot_id,wafer_id,product_id,route_id,fdc_cvd_pressure_slope_p95,fdc_cvd_rf_power_std,fdc_etch_temp_range,metro_thk_edge_wl128,metro_thk_edge_wl160,metro_cd_center_wl160,queue_time_before_etch,prev_defect_count_after_metro,recipe_ppid_77a_flag,final_eds_proxy_leakage_feature
LOT1004,LOT1004_W03,PRODB,ROUTE_X,1.1794,2.8046,1.6836,0.837,2.1225,0.4675,2.3624,2,1,12.1335
LOT1004,LOT1004_W04,PRODB,ROUTE_Y,-1.8598,0.2534,-0.531,-2.4493,-2.2263,0.5932,2.582,0,0,-0.2081
LOT1004,LOT1004_W05,PRODB,ROUTE_Y,2.299,1.6508,1.0449,2.1045,2.8186,0.5477,2.2641,5,1,14.862
LOT1005,LOT1005_W01,PRODA,ROUTE_X,3.1308,2.4829,0.068,2.5236,2.98,1.0182,2.6217,4,1,18.4228
LOT1005,LOT1005_W02,PRODA,ROUTE_X,1.7976,1.5889,-0.4121,1.9751,1.6873,0.6634,1.8359,3,0,14.1557
LOT1005,LOT1005_W03,PRODA,ROUTE_Y,0.5163,0.3672,-1.8077,-0.1162,0.7216,0.0117,0.5013,2,0,2.8893
LOT1005,LOT1005_W04,PRODA,ROUTE_Y,-0.3717,-0.0682,-0.1716,0.0199,-0.6069,-0.6052,1.056,2,0,0.0316
LOT1005,LOT1005_W05,PRODB,ROUTE_Y,-0.8931,0.2948,-1.5594,-1.5429,-0.1796,2.0355,3.824,2,0,-0.3765
LOT1006,LOT1006_W01,PRODB,ROUTE_X,0.0115,-0.0476,0.9673,-0.3,-0.4305,-0.4497,3.5388,0,0,0.4686
LOT1006,LOT1006_W02,PRODB,ROUTE_X,-0.2993,-0.806,1.5168,-0.6428,-0.8366,-0.7257,2.3315,1,0,-0.0661
LOT1006,LOT1006_W03,PRODA,ROUTE_X,1.1849,0.8194,-0.7969,1.9138,0.892,0.671,2.739,2,1,9.1129
LOT1006,LOT1006_W04,PRODA,ROUTE_X,2.0488,1.5949,0.302,2.2304,1.9088,0.6616,3.2608,2,0,15.9899
LOT1006,LOT1006_W05,PRODA,ROUTE_Y,3.9852,2.5953,-0.7254,3.8687,4.7705,-0.6078,2.3124,6,1,27.5616
LOT1007,LOT1007_W01,PRODA,ROUTE_X,3.336,2.5742,-0.6285,3.6103,3.9537,1.7899,3.7514,4,1,26.8438
LOT1007,LOT1007_W02,PRODA,ROUTE_X,-0.9209,0.1426,0.7745,-2.0798,0.2005,-0.2784,3.6683,1,0,-0.0562
LOT1007,LOT1007_W03,PRODA,ROUTE_X,3.055,1.7902,-0.0385,3.0313,4.381,-0.4999,7.6821,6,1,24.5804
LOT1007,LOT1007_W04,PRODA,ROUTE_Y,2.8396,2.7004,1.7396,3.9383,2.6569,1.7567,1.0937,4,1,18.985
LOT1007,LOT1007_W05,PRODB,ROUTE_X,0.4425,0.5622,-0.4822,0.5153,0.5836,0.7142,1.1105,2,0,3.6424
LOT1008,LOT1008_W01,PRODA,ROUTE_Y,1.2497,-0.4865,0.9993,1.287,0.2694,-1.0146,2.1904,3,0,8.2798
LOT1008,LOT1008_W02,PRODB,ROUTE_X,0.6354,1.6158,0.0974,0.9368,0.5971,1.9043,5.6218,3,0,8.2394
LOT1008,LOT1008_W03,PRODB,ROUTE_Y,0.74,-0.0807,0.7958,1.2326,0.2583,0.8068,3.9507,2,0,6.8829
LOT1008,LOT1008_W04,PRODA,ROUTE_X,0.6369,-1.1711,-0.4472,-0.4617,-0.3914,0.1172,2.9774,0,0,-0.7798
LOT1008,LOT1008_W05,PRODB,ROUTE_Y,2.5408,0.9299,-0.0496,1.6155,1.8601,2.0984,4.1319,4,1,17.1715
LOT1009,LOT1009_W01,PRODB,ROUTE_Y,-1.7836,-1.8107,-0.1155,-1.668,-2.1386,-0.1974,2.3927,0,0,-0.0489
LOT1009,LOT1009_W02,PRODA,ROUTE_Y,2.2836,1.7888,-0.8361,1.8904,1.8085,0.4286,1.3215,1,1,13.4462
LOT1009,LOT1009_W03,PRODA,ROUTE_Y,1.6438,1.1754,0.6621,2.3654,2.213,-0.3315,6.5354,3,1,19.71
LOT1009,LOT1009_W04,PRODB,ROUTE_Y,-1.2798,-0.9431,0.6502,-1.4532,-1.8756,0.3259,2.269,1,0,-0.0529
LOT1009,LOT1009_W05,PRODA,ROUTE_Y,1.6818,1.3986,0.5936,0.6178,3.3944,0.813,3.6147,3,0,12.6494
LOT1010,LOT1010_W01,PRODA,ROUTE_Y,1.729,1.1704,1.537,1.0316,1.5725,0.3605,0.0948,2,0,7.5087
LOT1010,LOT1010_W02,PRODA,ROUTE_X,3.5592,2.6641,1.4493,2.0469,3.8642,-0.0781,0.1297,3,1,15.4608
LOT1010,LOT1010_W03,PRODB,ROUTE_Y,2.4552,2.1965,-0.3749,2.3264,2.0334,0.621,1.8952,4,1,19.2461
LOT1010,LOT1010_W04,PRODB,ROUTE_Y,1.3506,1.2298,0.3731,1.247,2.4553,0.2003,0.7523,3,0,12.3907
LOT1010,LOT1010_W05,PRODB,ROUTE_Y,2.2121,-0.1911,-0.6236,1.9786,2.4386,-0.8911,2.0265,2,1,12.3594
LOT1011,LOT1011_W01,PRODB,ROUTE_X,0.2028,-0.2266,0.0234,0.7962,0.2677,-1.4313,1.1092,1,0,4.1829
LOT1011,LOT1011_W02,PRODA,ROUTE_X,1.1065,-0.8089,-0.5997,1.7657,-0.0429,0.7865,8.4004,3,1,9.879
LOT1011,LOT1011_W03,PRODA,ROUTE_Y,0.397,0.2309,1.6201,0.3033,0.5226,-2.5225,3.4219,2,0,6.4366
LOT1011,LOT1011_W04,PRODA,ROUTE_X,0.0604,0.026,0.3637,-1.1137,-0.5577,0.2175,4.3991,1,0,0.2756
LOT1011,LOT1011_W05,PRODA,ROUTE_X,-1.3027,0.2897,-0.218,-0.9631,-0.2161,-0.7386,0.1724,0,0,-0.1222
LOT1012,LOT1012_W01,PRODB,ROUTE_X,2.1488,2.7433,1.1936,2.4543,3.0945,1.738,2.9496,4,1,21.3861
LOT1012,LOT1012_W02,PRODA,ROUTE_X,2.1203,1.8426,-2.1706,2.2904,2.4075,-0.0694,1.4492,4,1,15.4402
LOT1012,LOT1012_W03,PRODA,ROUTE_X,1.7976,0.4485,-2.0141,2.3374,0.3225,1.019,4.455,4,0,12.9904
LOT1012,LOT1012_W04,PRODB,ROUTE_X,0.8942,0.8838,0.7958,0.2536,0.4843,-0.2181,2.6572,2,0,3.3532
LOT1012,LOT1012_W05,PRODB,ROUTE_X,0.0114,-0.4694,0.0605,1.1163,0.2472,0.116,1.619,2,0,6.0334
LOT1013,LOT1013_W01,PRODA,ROUTE_X,0.2488,0.1231,0.2504,-0.2789,0.9155,0.7866,0.5571,1,0,1.0213
LOT1013,LOT1013_W02,PRODA,ROUTE_X,0.0442,0.9096,-1.3264,0.4563,0.9205,-0.4537,1.868,2,0,3.7945
LOT1013,LOT1013_W03,PRODA,ROUTE_Y,1.9971,1.0965,-0.0232,1.069,1.1509,1.396,3.766,4,1,12.3802
LOT1013,LOT1013_W04,PRODA,ROUTE_X,1.1176,1.8839,2.0035,0.6059,1.681,-0.7702,4.6262,2,1,8.6177
LOT1013,LOT1013_W05,PRODA,ROUTE_Y,-0.1511,0.5341,0.8242,0.683,0.5904,0.2644,1.252,1,0,3.3924
LOT1014,LOT1014_W01,PRODA,ROUTE_Y,1.4539,0.4676,0.1697,1.3104,0.464,1.2134,7.5378,2,1,10.3697
LOT1014,LOT1014_W02,PRODA,ROUTE_X,-1.2503,0.2513,-0.4391,-0.7884,-0.9917,0.41,3.5697,1,0,-0.1299
LOT1014,LOT1014_W03,PRODB,ROUTE_X,0.5112,0.8843,-0.3946,0.6415,0.8504,2.0187,0.7667,2,0,7.5032
LOT1014,LOT1014_W04,PRODA,ROUTE_Y,0.3913,0.2874,-2.1292,0.3335,0.2534,-0.6852,0.6113,2,0,3.146
LOT1014,LOT1014_W05,PRODA,ROUTE_Y,-1.7867,-1.5794,0.2576,-1.0366,-3.0112,-1.7365,1.5228,1,0,0.0267
LOT1015,LOT1015_W01,PRODA,ROUTE_Y,-0.1227,-0.8346,0.8455,-0.2528,-0.5338,-1.0189,1.2494,2,0,-0.0874
LOT1015,LOT1015_W02,PRODA,ROUTE_Y,0.9957,0.014,-1.5756,0.0163,0.6705,0.8596,2.4064,3,0,2.6692
LOT1015,LOT1015_W03,PRODB,ROUTE_Y,1.0592,1.0179,-0.6614,0.6174,1.1243,0.7098,1.7223,3,0,6.221
LOT1015,LOT1015_W04,PRODA,ROUTE_Y,1.0258,-0.3471,-1.1575,1.329,0.4579,0.3074,1.3377,2,0,9.3775
LOT1015,LOT1015_W05,PRODB,ROUTE_X,0.0389,0.4132,-0.9654,0.2564,-0.0866,-1.1152,0.3676,1,0,2.3918
LOT1016,LOT1016_W01,PRODB,ROUTE_Y,-0.845,-1.5401,0.0535,-1.7069,-1.2022,0.5979,2.7149,0,0,0.3378
LOT1016,LOT1016_W02,PRODA,ROUTE_X,-1.0837,-0.7255,-2.0844,-1.4821,-0.8954,-1.4414,0.333,0,0,0.9716
LOT1016,LOT1016_W03,PRODB,ROUTE_Y,2.5446,1.971,0.6143,2.2247,2.5868,1.6679,3.5777,3,1,17.7261
LOT1016,LOT1016_W04,PRODA,ROUTE_Y,2.5793,4.0903,0.7539,2.3783,3.1942,3.3733,0.2006,3,1,21.5593
LOT1016,LOT1016_W05,PRODA,ROUTE_X,1.2873,-0.5959,-0.2511,0.5306,0.9663,0.6239,0.311,1,0,1.7146
LOT1017,LOT1017_W01,PRODA,ROUTE_Y,1.1,1.8748,-2.4807,0.7544,0.4409,0.8031,0.7634,2,0,5.0543
LOT1017,LOT1017_W02,PRODB,ROUTE_X,2.0678,1.7687,-0.9964,1.667,2.5506,-0.0793,1.1588,3,1,10.3044
LOT1017,LOT1017_W03,PRODA,ROUTE_Y,0.9558,1.448,1.2329,1.3801,1.2465,-1.6191,0.9657,3,1,6.5189
LOT1017,LOT1017_W04,PRODA,ROUTE_X,1.8809,1.647,-2.778,2.3259,2.1147,-0.2265,1.1546,3,1,13.6724
LOT1017,LOT1017_W05,PRODA,ROUTE_Y,2.4172,2.2089,-0.3475,2.337,3.2457,-0.6094,2.0567,5,1,16.4004
LOT1018,LOT1018_W01,PRODA,ROUTE_X,-0.2021,-0.2394,-1.18,-0.4177,-1.3176,-1.4874,0.7801,1,0,0.0865
LOT1018,LOT1018_W02,PRODB,ROUTE_Y,-0.5779,1.0197,0.8046,-0.5009,-1.2709,1.6068,2.0709,1,0,0.3712
LOT1018,LOT1018_W03,PRODA,ROUTE_Y,2.4529,1.4156,-0.6751,2.0038,2.6602,0.7634,0.097,3,1,13.5026
LOT1018,LOT1018_W04,PRODA,ROUTE_Y,-0.504,0.767,0.404,-1.1347,-0.2022,0.2789,0.7531,1,0,-0.0035
LOT1018,LOT1018_W05,PRODA,ROUTE_Y,1.5719,0.806,0.5655,1.0548,1.6716,0.0054,0.2932,3,1,9.3633
LOT1019,LOT1019_W01,PRODB,ROUTE_Y,0.3115,0.1015,1.8362,-0.0377,0.041,-0.1106,3.5495,3,0,3.9253
LOT1019,LOT1019_W02,PRODA,ROUTE_Y,-0.402,-1.1658,-0.2029,-1.0419,-0.326,0.8842,0.878,0,0,0.2772
LOT1019,LOT1019_W03,PRODA,ROUTE_X,0.2441,0.5316,0.376,0.3332,0.8799,0.0165,2.5955,2,0,1.8094
LOT1019,LOT1019_W04,PRODA,ROUTE_Y,0.2732,1.4372,-1.4851,0.6745,0.9296,0.5853,0.2336,2,0,5.7535
LOT1019,LOT1019_W05,PRODB,ROUTE_X,-1.1394,-0.6393,1.1904,-2.0123,-1.3038,-0.4239,4.5751,0,0,0.0947
LOT1020,LOT1020_W01,PRODB,ROUTE_Y,-0.4812,-0.4178,-0.7605,-0.4674,-1.6936,-0.4384,1.8004,1,0,0.2786
LOT1020,LOT1020_W02,PRODB,ROUTE_X,1.4378,-0.2843,-0.5608,1.3168,1.5599,-1.1194,1.645,4,0,9.3032
LOT1020,LOT1020_W03,PRODA,ROUTE_Y,-1.1621,-0.7874,-0.0222,-0.9742,-0.552,-2.2102,0.3727,0,0,0.1302
LOT1020,LOT1020_W04,PRODB,ROUTE_Y,-2.1167,-2.4918,-1.5629,-2.1238,-2.1922,-0.6849,0.6674,0,0,0.2206
LOT1020,LOT1020_W05,PRODB,ROUTE_X,-1.8618,-1.7525,0.2288,-2.6613,-2.5921,-0.3159,1.3727,0,0,0.0642
LOT1021,LOT1021_W01,PRODB,ROUTE_Y,0.0291,0.2187,0.9675,-0.6652,0.4609,-1.2803,0.6924,0,0,-0.1572
LOT1021,LOT1021_W02,PRODA,ROUTE_Y,0.0309,1.2026,0.2929,0.0471,0.8603,-0.0283,3.3106,3,0,8.8087
LOT1021,LOT1021_W03,PRODA,ROUTE_Y,2.0824,4.1695,-1.5889,2.6482,3.8782,0.4702,1.7588,3,1,18.6047
LOT1021,LOT1021_W04,PRODA,ROUTE_X,1.2142,0.0792,-0.1238,-0.0036,0.574,-1.9132,0.7007,1,0,2.7093
LOT1021,LOT1021_W05,PRODB,ROUTE_Y,-2.6728,-0.0446,0.742,-2.4827,-2.4099,-1.4497,2.964,0,0,-0.5207
LOT1022,LOT1022_W01,PRODA,ROUTE_Y,0.3959,0.4173,-1.878,1.0502,0.8727,0.4865,1.2267,2,0,5.1349
LOT1022,LOT1022_W02,PRODA,ROUTE_X,1.5614,0.6446,-1.0748,1.4773,1.5522,0.6993,2.8695,2,0,12.1905
LOT1022,LOT1022_W03,PRODA,ROUTE_X,-1.1278,-0.1746,0.8765,-0.8252,-1.6255,-1.3792,1.0669,1,0,-0.0394
LOT1022,LOT1022_W04,PRODA,ROUTE_X,-0.3798,-0.1342,0.2701,-0.7665,-0.1351,0.0825,2.4674,0,0,-0.029
LOT1022,LOT1022_W05,PRODA,ROUTE_Y,1.4471,1.4229,0.412,1.3815,1.9752,1.3118,1.1909,2,1,11.8587
LOT1023,LOT1023_W01,PRODB,ROUTE_X,-0.8943,-0.8147,1.8595,-1.7858,-0.9562,0.5982,3.3114,0,0,-0.2787
LOT1023,LOT1023_W02,PRODB,ROUTE_Y,-0.3263,-1.4214,0.4686,-1.6157,-0.583,-0.1605,0.2402,1,0,-0.4434
LOT1023,LOT1023_W03,PRODB,ROUTE_Y,1.4275,-0.6755,0.6579,1.946,0.8684,-0.1825,0.5122,4,0,9.0312
LOT1023,LOT1023_W04,PRODA,ROUTE_X,4.0374,3.2066,2.7107,3.4956,5.2068,0.1781,1.4749,4,1,28.3227
LOT1023,LOT1023_W05,PRODB,ROUTE_Y,1.8641,1.283,-0.2138,1.6135,1.474,0.8406,0.9141,4,1,12.0523
LOT1024,LOT1024_W01,PRODA,ROUTE_Y,1.9051,0.4161,-0.7979,1.1425,1.4211,0.5761,1.1602,2,0,10.2503
LOT1024,LOT1024_W02,PRODB,ROUTE_X,0.0356,0.0254,0.4278,-0.7399,0.0439,0.6365,2.6756,2,0,-0.3955
LOT1024,LOT1024_W03,PRODA,ROUTE_X,1.7537,1.5923,0.439,1.6581,2.4517,0.4826,1.1395,2,0,10.9899
LOT1024,LOT1024_W04,PRODA,ROUTE_X,-0.0933,0.1157,-0.5267,-0.4946,-0.8682,0.8001,2.1266,2,0,0.122
LOT1024,LOT1024_W05,PRODA,ROUTE_X,0.1311,-0.5249,-1.0324,0.3389,-0.7667,0.1208,0.7481,1,0,0.0983
LOT1025,LOT1025_W01,PRODA,ROUTE_X,0.3655,1.2864,2.3098,0.6144,-0.4242,0.8578,0.1791,3,0,3.5448
LOT1025,LOT1025_W02,PRODA,ROUTE_Y,3.1789,3.0107,0.3268,3.3553,3.6232,1.5066,2.8569,5,0,24.8527
LOT1025,LOT1025_W03,PRODA,ROUTE_X,3.0513,2.5707,-0.7323,3.1825,2.7497,-0.1943,5.2837,3,1,20.9131
LOT1025,LOT1025_W04,PRODA,ROUTE_X,-0.7073,0.5227,0.9159,0.1605,-0.6559,-1.9496,1.9634,1,0,2.0229
LOT1025,LOT1025_W05,PRODA,ROUTE_Y,0.969,1.6023,-0.1091,0.3818,1.6681,1.7373,1.5405,3,0,10.1511
LOT1026,LOT1026_W01,PRODA,ROUTE_Y,-0.3618,0.8362,-0.2529,-0.392,-0.4096,0.1843,1.8088,2,0,-0.1967
LOT1026,LOT1026_W02,PRODB,ROUTE_Y,-0.4898,0.3078,0.5623,0.1332,-0.1967,-1.8124,4.1531,1,0,0.1144
LOT1026,LOT1026_W03,PRODA,ROUTE_Y,3.1086,2.6928,-1.2919,3.8041,3.2855,-0.0921,1.9813,5,1,24.7929
LOT1026,LOT1026_W04,PRODA,ROUTE_X,2.2311,2.1832,0.3526,1.4491,2.9211,1.2181,2.9564,4,1,14.5039
LOT1026,LOT1026_W05,PRODA,ROUTE_X,2.4786,0.8517,1.913,2.3068,2.6236,0.216,2.864,4,1,16.6103
LOT1027,LOT1027_W01,PRODA,ROUTE_Y,2.214,2.3376,0.4662,2.961,2.2026,-0.0693,3.5084,3,1,17.1712
LOT1027,LOT1027_W02,PRODB,ROUTE_Y,0.3366,-1.0519,-0.3762,0.616,-0.1222,1.4682,1.514,1,0,2.27
LOT1027,LOT1027_W03,PRODA,ROUTE_Y,0.425,-0.5027,-0.5071,0.5324,0.7845,-0.9623,1.0545,2,0,1.4367
LOT1027,LOT1027_W04,PRODB,ROUTE_X,-1.937,0.2047,-0.4103,-2.0567,-1.3686,-1.1855,2.4875,1,0,-0.6328
LOT1027,LOT1027_W05,PRODA,ROUTE_Y,0.6666,1.0895,-0.254,0.4555,0.1251,0.3447,3.3374,3,0,2.9651
LOT1028,LOT1028_W01,PRODA,ROUTE_Y,-0.982,0.8476,-0.3778,-0.8235,-0.2198,0.1941,3.7848,2,0,4.34
LOT1028,LOT1028_W02,PRODA,ROUTE_X,-1.4423,-0.9657,0.9163,-1.5811,-2.1122,0.2079,4.5041,0,0,0.1907
LOT1028,LOT1028_W03,PRODB,ROUTE_Y,2.1416,0.6338,-1.7332,2.1182,2.7874,1.3396,3.1298,4,1,14.3843
LOT1028,LOT1028_W04,PRODA,ROUTE_Y,2.284,1.5256,0.862,2.3272,2.9623,0.6554,1.0045,3,1,17.4895
LOT1028,LOT1028_W05,PRODA,ROUTE_X,-0.6935,-0.2549,-0.3797,-1.0664,-0.5065,0.3507,1.9617,1,0,-0.0399
LOT1029,LOT1029_W01,PRODA,ROUTE_X,0.831,0.4866,0.3769,1.1237,0.9388,-0.093,1.8316,2,0,7.7159
LOT1029,LOT1029_W02,PRODA,ROUTE_Y,0.8578,2.0492,-1.127,2.4607,1.229,0.2343,1.6809,2,1,14.1229
LOT1029,LOT1029_W03,PRODA,ROUTE_X,-0.4069,-0.5286,1.3286,-1.3843,-0.1313,0.0261,2.4912,1,0,-0.0315
LOT1029,LOT1029_W04,PRODA,ROUTE_X,-0.5849,0.0244,1.2456,-0.4067,-0.6938,0.0981,1.4039,1,0,-0.4159
LOT1029,LOT1029_W05,PRODA,ROUTE_X,2.1534,0.7869,0.9596,1.7353,2.196,1.2032,1.4056,3,1,10.7791
LOT1030,LOT1030_W01,PRODB,ROUTE_X,0.2789,0.5447,-1.5148,0.5964,0.88,0.6109,5.4998,2,0,4.4627
LOT1030,LOT1030_W02,PRODB,ROUTE_Y,-1.0079,-0.5011,0.8291,-0.9823,-1.316,-0.1574,1.5779,1,0,0.0425
LOT1030,LOT1030_W03,PRODA,ROUTE_Y,0.7243,-0.3127,0.4049,1.1433,0.1829,-0.6643,3.4908,3,0,2.2196
LOT1030,LOT1030_W04,PRODA,ROUTE_X,2.263,1.5193,-1.6053,2.9095,1.7224,0.5203,3.632,4,1,14.9574
LOT1030,LOT1030_W05,PRODA,ROUTE_Y,-1.8919,-1.1117,-0.0243,-1.7861,-2.5271,-0.4064,2.0029,0,0,-0.0388
LOT1031,LOT1031_W01,PRODB,ROUTE_Y,-1.9586,-1.2224,0.3645,-1.336,-3.0372,-0.1985,1.4508,0,0,-0.2445
LOT1031,LOT1031_W02,PRODA,ROUTE_X,-0.0123,1.588,0.5561,-1.3017,0.8673,2.2041,0.7769,1,0,-0.0384
LOT1031,LOT1031_W03,PRODB,ROUTE_Y,-0.221,-0.1991,0.1773,0.6538,0.7474,-0.568,0.3272,3,0,4.8425
LOT1031,LOT1031_W04,PRODB,ROUTE_X,-0.1034,-0.2712,0.2912,0.1029,0.6147,0.4016,2.6216,1,0,5.5405
LOT1031,LOT1031_W05,PRODB,ROUTE_Y,-0.028,-1.9017,1.4736,0.5648,-1.4886,1.0629,2.2504,2,0,2.4988
LOT1032,LOT1032_W01,PRODA,ROUTE_Y,2.4256,1.008,1.226,1.7546,2.7628,0.5831,2.904,3,1,16.9842
LOT1032,LOT1032_W02,PRODB,ROUTE_Y,0.9476,0.2371,-2.8671,0.4907,1.6588,2.5274,1.1136,2,0,7.9586
LOT1032,LOT1032_W03,PRODA,ROUTE_X,1.0889,0.5272,-0.3174,1.1692,0.8325,-0.1603,5.873,2,1,10.4494
LOT1032,LOT1032_W04,PRODA,ROUTE_Y,1.028,2.3576,-0.1647,1.0187,1.6369,0.5297,2.3987,3,1,10.3971
LOT1032,LOT1032_W05,PRODA,ROUTE_X,1.1067,1.0049,-1.7521,1.2624,0.1378,-0.5775,1.5308,3,1,5.7452
LOT1033,LOT1033_W01,PRODA,ROUTE_X,0.2889,1.3041,0.0942,0.8854,0.7835,-0.2937,0.164,3,0,4.0095
LOT1033,LOT1033_W02,PRODB,ROUTE_X,1.2449,0.678,1.2488,0.2741,0.6766,0.4979,1.2226,3,0,3.064
LOT1033,LOT1033_W03,PRODB,ROUTE_Y,-0.4313,-0.1822,-1.0866,0.1043,-0.3115,0.76,3.0025,1,0,0.2478
LOT1033,LOT1033_W04,PRODA,ROUTE_X,-0.3017,0.3692,0.3364,-0.2971,-1.0043,0.2588,4.4255,4,1,-0.2373
LOT1033,LOT1033_W05,PRODB,ROUTE_Y,-1.704,-0.8486,-0.9158,-1.8161,-1.4044,0.9183,1.7268,0,0,-0.1937
LOT1034,LOT1034_W01,PRODA,ROUTE_Y,1.367,2.8304,-0.6719,0.5578,2.5745,0.1784,4.9187,2,1,9.8832
LOT1034,LOT1034_W02,PRODA,ROUTE_X,-0.5577,-2.3665,1.4774,-0.2811,-1.6148,-0.4437,0.7227,1,0,0.2201
LOT1034,LOT1034_W03,PRODA,ROUTE_X,-0.4084,-2.0056,-0.5426,-1.7361,-1.5741,2.6223,2.3009,0,0,0.2253
LOT1034,LOT1034_W04,PRODB,ROUTE_X,0.0386,-0.4696,0.4622,0.3952,-1.2939,0.402,2.349,2,0,1.6318
LOT1034,LOT1034_W05,PRODA,ROUTE_Y,-0.3117,-0.1428,-1.8712,-1.1324,-0.4544,-0.7818,2.6368,1,0,-0.0331
LOT1035,LOT1035_W01,PRODA,ROUTE_Y,3.2493,2.8458,1.8623,3.2787,3.2958,-0.0444,1.9141,6,1,18.7974
LOT1035,LOT1035_W02,PRODA,ROUTE_X,-0.676,0.0878,0.6027,-0.7416,-1.4013,-1.0779,2.2089,1,0,-0.1033
LOT1035,LOT1035_W03,PRODB,ROUTE_Y,-0.8623,-0.777,-0.1825,-0.2191,-0.7169,0.7641,0.7064,1,0,0.1647
LOT1035,LOT1035_W04,PRODB,ROUTE_X,2.6789,2.8566,0.5755,2.5806,2.8865,0.1714,4.1403,3,1,16.5941
LOT1035,LOT1035_W05,PRODB,ROUTE_Y,-1.5356,0.1594,-1.4098,-1.9174,-1.8491,-0.1798,3.2547,0,0,-0.1689
LOT1036,LOT1036_W01,PRODB,ROUTE_Y,2.5897,2.0605,1.1825,2.3111,2.5144,0.4544,2.145,3,1,15.3467
LOT1036,LOT1036_W02,PRODB,ROUTE_Y,2.3026,2.6177,-0.324,3.0026,3.3317,1.192,3.3082,4,1,20.3214
LOT1036,LOT1036_W03,PRODA,ROUTE_Y,2.0526,1.8717,-0.2041,2.3475,2.6378,-0.4362,4.2305,3,1,16.8736
LOT1036,LOT1036_W04,PRODA,ROUTE_Y,1.5883,0.2888,-0.4917,1.3762,1.3652,-0.7579,2.6093,5,0,11.7972
